Model,RMSE,MAE,R2
LSTM,112.15348149049754,78.67643227470734,0.7345901453526394
GRU,115.07131694391812,83.90379596549613,0.7206004567135453
Bi-LSTM,119.91644143358681,84.5023484080897,0.696576656717563
Bi-GRU,122.71601725349467,86.67360266872971,0.682243803347184
